"CIDADE","ranking","log_pop","Serra02","Neves14","Bolsonaro18","Alckmin06","Serra10","quartil"
"AGROLANDIA",0.444173986665255,8.75004942158424,48.14,59.86,81.46,60.4,50.97,"3"
"AGRONOMICA",0.596465234416341,8.090708716084,46.83,64.61,87.19,64.12,52.47,"2"
"ATALANTA",0.678484495713833,7.77988511507052,39.15,66.43,83.61,72.93,60.85,"1"
"AURORA",0.221610752460578,8.29179710504873,38.46,60.46,82.96,54.16,43.76,"2"
"BRACO DO TROMBUDO",1,7.85399308722424,61.34,74.42,87.73,72.29,57.57,"1"
"CHAPADAO DO DO LAGEADO",0.0599005185733937,7.59186171488993,39.85,53.53,69.2,51.34,50.6,"1"
"DONA EMMA",0,7.80751004221619,39.82,55.27,72.89,50.68,40.2,"1"
"IBIRAMA",0.467245211133453,9.31730959297342,45.29,66.5,82.77,58.02,50.43,"4"
"IMBUIA",0.347761667901366,8.25997565976828,53.85,49.9,76.64,63.74,47.59,"2"
"ITUPORANGA",0.517409249656048,9.59260508691391,42.33,65.93,83.94,61.22,54.33,"4"
"JOSE BOITEUX",0.0973648005079902,8.02878116248715,47.97,57.24,67.84,52.56,42.45,"2"
"LAURENTINO",0.50047624087205,8.40335237499248,43.21,65.62,83.67,56.82,56.83,"3"
"LONTRAS",0.411577944756059,8.77817188103347,43.05,66.65,83.32,59.1,45.63,"4"
"MIRIM DOCE",0.310826542491269,7.5207764150628,39.72,58.02,75.26,60.62,54.61,"1"
"PETROLANDIA",0.430310085723357,8.36077327214494,47.05,57.04,81.98,61.05,52.4,"3"
"POUSO REDONDO",0.366387977563764,9.07760865952222,43.3,65.31,82.16,53.86,48.85,"4"
"PRESIDENTE GETULIO",0.307545772039369,9.18029345062389,37.28,64.19,83.8,58.62,44.03,"4"
"PRESIDENTE NEREU",0.211874272409779,7.43897159239586,43.89,63.84,78.69,53.62,38.84,"1"
"RIO DO CAMPO",0.540586305429146,8.349011198176,43.27,65.95,77.97,66.23,56.52,"2"
"RIO DO OESTE",0.249338554344375,8.46505743699571,36.67,57.61,75.96,58.83,53.35,"3"
"RIO DO SUL",0.766853635305323,10.5498051457393,50.58,73.26,82.94,63.28,61.26,"4"
"SALETE",0.453487141496455,8.4728232436803,42.3,60.32,79,66.21,53.88,"3"
"SANTA TEREZINHA",0.0340776801777963,8.59025776227324,29.88,58.78,71.6,61.08,40.74,"3"
"TAIO",0.70732352629908,9.30027247947679,45.495,68.15,84,68.57,59.48,"4"
"TROMBUDO CENTRAL",0.672378029421103,8.36170828857584,48.833,67.71,83.44,67.06,55.35,"3"
"VIDAL RAMOS",0.177161604402582,8.33327035325531,43.5,48.77,75.58,61.59,46.16,"2"
"VITOR MEIRELES",0.0144988887712986,8.08978917578932,37.39,48.33,68.89,53.24,52.38,"2"
"WITMARSUM",0.148904645994285,7.85243908535751,42.62,54.94,77.21,57.11,41.05,"1"
